###Format is name, language as an iteger (from megamek's masterancestry.txt file)
Aaron, 1
Abberley, 1
Abbey, 1
Abbinett, 1
Abbot, 1
Abbotson, 1
Abbott, 1
Abdale, 1
Abell, 1
Abercrombie, 1
Abercromby, 1
Aberdein, 1
Abernathy, 1
Abernethie, 1
Abernethy, 1
Ables, 1
Ablett, 1
Abley, 1
Abner, 1
Abney, 1
Abraham, 1
Abrams, 1
Abrial, 1
Absher, 1
Abshire, 1
Abston, 1
Acheson, 1
Achurch, 1
Acker, 1
Ackerman, 1
Ackermann, 1
Ackley, 1
Acklin, 1
Ackworth, 1
Acord, 1
Acourt, 1
Acree, 1
Acres, 1
Acton, 1
Acuff, 1
Adair, 1
Adam, 1
Adams, 1
Adamson, 1
Adcock, 1
Addington, 1
Addis, 1
Addison, 1
Addy, 1
Adinston, 1
Adinstone, 1
Adkins, 1
Adkinson, 1
Adkison, 1
Adkisson, 1
Adler, 1
Adrian, 1
Adshead, 1
Agan, 1
Agar, 1
Agarn, 1
Agee, 1
Aggett, 1
Agnew, 1
Ahearn, 1
Ahern, 1
Aherne, 1
Ahlers, 1
Ahner, 1
Ahrens, 1
Aiken, 1
Aikenhead, 1
Aikens, 1
Ainsley, 1
Ainslie, 1
Ainsworth, 1
Airey, 1
Airth, 1
Airy, 1
Aisher, 1
Aitcheson, 1
Aitchison, 1
Aitken, 1
Aitkenhead, 1
Aitkin, 1
Akehurst, 1
Aker, 1
Akers, 1
Akins, 1
Alban, 1
Albany, 1
Albaugh, 1
Albee, 1
Albermarle, 1
Albers, 1
Albert, 1
Alberts, 1
Albertson, 1
Albin, 1
Albrecht, 1
Albright, 1
Albritton, 1
Alcester, 1
Alcorn, 1
Alden, 1
Alder, 1
Alderman, 1
Alderson, 1
Aldis, 1
Aldous, 1
Aldrich, 1
Aldridge, 1
Aldworth, 1
Alexander, 1
Alexis, 1
Alford, 1
Alfred, 1
Alger, 1
Aline, 1
Alington, 1
Alis, 1
Alison, 1
Alistair, 1
Alister, 1
Alker, 1
Allain, 1
Allaire, 1
Allan, 1
Allanson, 1
Allard, 1
Allardice, 1
Allardyce, 1
Allcorn, 1
Alleman, 1
Allen, 1
Allerdale, 1
Alley, 1
Alleyne, 1
Allgood, 1
Allingham, 1
Allington, 1
Allison, 1
Allman, 1
Allmark, 1
Alloway, 1
Allred, 1
Almond, 1
Alpert, 1
Alston, 1
Alsup, 1
Alter, 1
Altizer, 1
Altman, 1
Altmann, 1
Alton, 1
Alty, 1
Alverson, 1
Alvey, 1
Alvis, 1
Ambler, 1
Ambrose, 1
Amery, 1
Ames, 1
Amesbury, 1
Amey, 1
Amick, 1
Amies, 1
Ammerman, 1
Ammons, 1
Amphlett, 1
Amundson, 1
Anders, 1
Andersen, 1
Anderson, 1
Anderton, 1
Andre, 1
Andresen, 1
Andrew, 1
Andrews, 1
Andrus, 1
Ange, 1
Angell, 1
Angle, 1
Anglin, 1
Angrove, 1
Angsley, 1
Angus, 1
Angwin, 1
Ankers, 1
Anketell, 1
Annable, 1
Annandale, 1
Anne, 1
Annesley, 1
Annett, 1
Annetts, 1
Anning, 1
Annis, 1
Annlar, 1
Ansley, 1
Anslow, 1
Anson, 1
Anstey, 1
Anstruther, 1
Antell, 1
Anthony, 1
Antill, 1
Antrim, 1
Anwyl, 1
Anyan, 1
Aplin, 1
Appel, 1
Apperley, 1
Apple, 1
Appleby, 1
Applegarth, 1
Applegate, 1
Appleton, 1
Applewhite, 1
Appleyard, 1
Appling, 1
Apsley, 1
Aquitaine, 1
Arbnuthnot, 1
Arbogast, 1
Arbuckle, 1
Arbuthnot, 1
Arbuthnott, 1
Arceneaux, 1
Arch, 1
Archer, 1
Archibald, 1
Archibold, 1
Archie, 1
Ard, 1
Arden, 1
Ardern, 1
Arderne, 1
Ardis, 1
Argyll, 1
Aris, 1
Arkell, 1
Arkle, 1
Arline, 1
Armand, 1
Armbruster, 1
Armentrout, 1
Armistead, 1
Armitage, 1
Armitstead, 1
Armour, 1
Arms, 1
Armstead, 1
Armstrong, 1
Arnason, 1
Arnasson, 1
Arnatt, 1
Arndt, 1
Arneson, 1
Arnesson, 1
Arnett, 1
Arnette, 1
Arney, 1
Arnhardt, 1
Arnheart, 1
Arnie, 1
Arnipp, 1
Arnold, 1
Arnopp, 1
Arnot, 1
Arpad, 1
Arrington, 1
Arrol, 1
Arrowood, 1
Arscott, 1
Arsenault, 1
Arthur, 1
Arthurton, 1
Artis, 1
Artrip, 1
Arundale, 1
Arundel, 1
Arundell, 1
Arwood, 1
Asberry, 1
Asbury, 1
Ash, 1
Ashbaugh, 1
Ashburn, 1
Ashburnham, 1
Ashby, 1
Ashcraft, 1
Ashcroft, 1
Ashe, 1
Asher, 1
Ashford, 1
Ashley, 1
Ashling, 1
Ashman, 1
Ashmore, 1
Ashton, 1
Ashwell, 1
Ashwood, 1
Ashworth, 1
Askew, 1
Askey, 1
Askin, 1
Askins, 1
Aspell, 1
Aspen, 1
Aspinall, 1
Aspinwall, 1
Asquith, 1
Assheton, 1
Astall, 1
Astbury, 1
Astley, 1
Aston, 1
Aswald, 1
Atcheson, 1
Atchison, 1
Atchley, 1
Atherton, 1
Athey, 1
Athlone, 1
Athol, 1
Atkin, 1
Atkins, 1
Atkinson, 1
Attaway, 1
Attenborough, 1
Atthow, 1
Attrill, 1
Attwell, 1
Atwater, 1
Atwell, 1
Atwood, 1
Aubert, 1
Aubin, 1
Aubrey, 1
Auchinlech, 1
Auchinleck, 1
Auchtercoull, 1
Aucoin, 1
Auden, 1
Audet, 1
Audley, 1
Audubon, 1
Aufrere, 1
Auger, 1
August, 1
Augustin, 1
Augustine, 1
Augustus, 1
Auld, 1
Ault, 1
Aultman, 1
Auriol, 1
Austen, 1
Austin, 1
Auten, 1
Autrey, 1
Autry, 1
Avant, 1
Avenel, 1
Averett, 1
Averill, 1
Avery, 1
Aves, 1
Awbrey, 1
Awdry, 1
Axford, 1
Aycock, 1
Ayers, 1
Ayles, 1
Aylett, 1
Ayliffe, 1
Ayling, 1
Aylmer, 1
Ayloffe, 1
Aylwin, 1
Aynsley, 1
Ayres, 1
Ayrton, 1
Ayson, 1
Ayton, 1
Aytoun, 1
Babb, 1
Babbage, 1
Babbington, 1
Babbitt, 1
Babcock, 1
Baber, 1
Babin, 1
Babineaux, 1
Babington, 1
Babthorpe, 1
Bach, 1
Bachman, 1
Bachmann, 1
Back, 1
Backer, 1
Backhouse, 1
Backman, 1
Backus, 1
Bacon, 1
Baddeley, 1
Bade, 1
Baden, 1
Bader, 1
Badger, 1
Badgett, 1
Badman, 1
Baer, 1
Bagby, 1
Bagg, 1
Baggaley, 1
Bagge, 1
Baggett, 1
Bagley, 1
Bagnall, 1
Bagnell, 1
Bagnold, 1
Bagwell, 1
Bahr, 1
Baier, 1
Bailes, 1
Bailey, 1
Bailie, 1
Baillie, 1
Baily, 1
Bain, 1
Bainbridge, 1
Baines, 1
Bainton, 1
Bair, 1
Baird, 1
Bairstow, 1
Baisden, 1
Baker, 1
Bakewell, 1
Bakke, 1
Bakken, 1
Bakker, 1
Balance, 1
Balby, 1
Balch, 1
Balcom, 1
Baldick, 1
Baldock, 1
Baldrick, 1
Baldridge, 1
Baldry, 1
Baldwin, 1
Bales, 1
Balfour, 1
Balkwill, 1
Ball, 1
Ballam, 1
Ballance, 1
Ballantine, 1
Ballantyne, 1
Ballard, 1
Ballenger, 1
Ballentine, 1
Ballew, 1
Ballinger, 1
Balloch, 1
Ballou, 1
Balloun, 1
Balman, 1
Balmer, 1
Balmforth, 1
Balsdon, 1
Bamber, 1
Bambridge, 1
Bamford, 1
Bamforth, 1
Banbury, 1
Bancroft, 1
Bandy, 1
Bane, 1
Banfield, 1
Banham, 1
Banister, 1
Bank, 1
Banker, 1
Bankhead, 1
Banks, 1
Bankston, 1
Bann, 1
Bannalyne, 1
Bannatyne, 1
Banner, 1
Bannerman, 1
Banning, 1
Bannister, 1
Bannon, 1
Banstead, 1
Banwell, 1
Barber, 1
Barbour, 1
Barclay, 1
Bard, 1
Barden, 1
Bardolf, 1
Bardwell, 1
Bare, 1
Barfield, 1
Barfoot, 1
Barford, 1
Bargany, 1
Barge, 1
Bargeny, 1
Barger, 1
Barham, 1
Barhorst, 1
Barhydt, 1
Baring, 1
Barke, 1
Barker, 1
Barkley, 1
Barklie, 1
Barkman, 1
Barksdale, 1
Barley, 1
Barlick, 1
Barling, 1
Barlow, 1
Barnacle, 1
Barnard, 1
Barner, 1
Barnes, 1
Barnett, 1
Barnette, 1
Barney, 1
Barnhardt, 1
Barnhart, 1
Barnhill, 1
Barns, 1
Barnsley, 1
Barnstaple, 1
Barnum, 1
Barnwell, 1
Baron, 1
Barone, 1
Barr, 1
Barraclough, 1
Barrenger, 1
Barret, 1
Barrett, 1
Barrette, 1
Barrick, 1
Barrie, 1
Barrier, 1
Barriger, 1
Barringer, 1
Barrington, 1
Barrow, 1
Barrowcliff, 1
Barrows, 1
Barry, 1
Barstow, 1
Bart, 1
Bartel, 1
Bartell, 1
Bartelot, 1
Bartels, 1
Bartelt, 1
Barter, 1
Barth, 1
Bartholomew, 1
Barthorpe, 1
Bartlett, 1
Bartley, 1
Barton, 1
Bartram, 1
Bartz, 1
Barwick, 1
Bascom, 1
Bascombe, 1
Basford, 1
Bash, 1
Basham, 1
Bashaw, 1
Basile, 1
Basinger, 1
Baskerville, 1
Baskeyfield, 1
Baskin, 1
Basnett, 1
Bass, 1
Basset, 1
Bassett, 1
Bassington, 1
Bastable, 1
Batchelder, 1
Batchelor, 1
Bateman, 1
Bater, 1
Bates, 1
Bateson, 1
Batey, 1
Bather, 1
Bathurst, 1
Batkin, 1
Batson, 1
Batt, 1
Battams, 1
Batten, 1
Batterham, 1
Battersby, 1
Battle, 1
Battles, 1
Batton, 1
Batts, 1
Batty, 1
Baty, 1
Baucom, 1
Bauder, 1
Bauer, 1
Baugh, 1
Baugher, 1
Baughman, 1
Bauman, 1
Baumann, 1
Baumgardener, 1
Baumgardner, 1
Baumgartner, 1
Baur, 1
Bausermann, 1
Baverstock, 1
Bavin, 1
Bawden, 1
Bax, 1
Baxley, 1
Baxter, 1
Bay, 1
Bayer, 1
Bayfield, 1
Bayles, 1
Bayless, 1
Bayley, 1
Baylor, 1
Bayne, 1
Baynes, 1
Bays, 1
Bazeley, 1
