###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
M9Ia, 26.03, 90000, 250.221, 524.951
M9Ib, 13.48, 9000, 79.127, 166.004
M9II, 7.54, 1175, 28.59, 59.981
M9III, 4.19, 150, 10.215, 21.431
M9V, 0.07, 0.0001, 0.008, 0.017
M9VI, 0.07, 0.00008, 0.007, 0.016
M8Ia, 25.95, 89000, 248.827, 522.027
M8Ib, 13.44, 8900, 78.686, 165.079
M8II, 7.49, 1150, 28.285, 59.34
M8III, 4.15, 145, 10.044, 21.071
M8V, 0.09, 0.00023, 0.013, 0.027
M8VI, 0.09, 0.000184, 0.011, 0.024
M7Ia, 25.86, 88000, 247.425, 519.086
M7Ib, 13.4, 8800, 78.243, 164.149
M7II, 7.44, 1125, 27.976, 58.691
M7III, 4.1, 140, 9.869, 20.704
M7V, 0.1, 0.00035, 0.016, 0.033
M7VI, 0.1, 0.00028, 0.014, 0.029
M6Ia, 25.78, 87000, 246.015, 516.128
M6Ib, 13.35, 8700, 77.797, 163.214
M6II, 7.4, 1100, 27.663, 58.036
M6III, 4.06, 135, 9.691, 20.331
M6V, 0.11, 0.00048, 0.018, 0.038
M6VI, 0.11, 0.000384, 0.016, 0.034
M5Ia, 25.7, 86000, 244.597, 513.153
M5Ib, 13.31, 8600, 77.348, 162.273
M5II, 7.35, 1075, 27.347, 57.372
M5III, 4.02, 130, 9.51, 19.951
M5V, 0.12, 0.0006, 0.02, 0.043
M5VI, 0.11, 0.00048, 0.018, 0.038
M4Ia, 25.61, 85000, 243.171, 510.161
M4Ib, 13.26, 8500, 76.897, 161.327
M4II, 7.3, 1050, 27.027, 56.701
M4III, 3.97, 125, 9.325, 19.564
M4V, 0.13, 0.00075, 0.023, 0.048
M4VI, 0.12, 0.0006, 0.02, 0.043
M3Ia, 25.52, 84000, 241.736, 507.151
M3Ib, 13.22, 8400, 76.444, 160.375
M3II, 7.25, 1025, 26.703, 56.022
M3III, 3.93, 120, 9.137, 19.169
M3V, 0.13, 0.00087, 0.025, 0.052
M3VI, 0.13, 0.000696, 0.022, 0.046
M2Ia, 25.44, 83000, 240.293, 504.123
M2Ib, 13.17, 8300, 75.987, 159.418
M2II, 7.2, 1000, 26.376, 55.335
M2III, 3.88, 115, 8.944, 18.765
M2V, 0.14, 0.001, 0.026, 0.055
M2VI, 0.13, 0.0008, 0.024, 0.049
M1Ia, 25.35, 82000, 238.841, 501.077
M1Ib, 13.13, 8200, 75.528, 158.455
M1II, 7.16, 980, 26.111, 54.779
M1III, 3.83, 110, 8.748, 18.352
M1V, 0.22, 0.005, 0.059, 0.124
M1VI, 0.21, 0.004, 0.053, 0.111
M0Ia, 25.26, 81000, 237.38, 498.012
M0Ib, 13.08, 8100, 75.066, 157.485
M0II, 7.11, 960, 25.843, 54.217
M0III, 3.78, 105, 8.547, 17.93
M0V, 0.27, 0.01, 0.083, 0.175
M0VI, 0.25, 0.008, 0.075, 0.157
K9Ia, 25.17, 80000, 235.911, 494.929
K9Ib, 13.04, 8000, 74.601, 156.51
K9II, 7.07, 940, 25.572, 53.649
K9III, 3.73, 100, 8.341, 17.498
K9V, 0.35, 0.025, 0.132, 0.277
K9VI, 0.33, 0.02, 0.118, 0.247
K9VII, 0.06, 0.00005, 0.006, 0.012
K8Ia, 25.08, 79000, 234.431, 491.826
K8Ib, 12.99, 7900, 74.134, 155.529
K8II, 7.03, 920, 25.299, 53.075
K8III, 3.7, 97, 8.215, 17.234
K8V, 0.4, 0.04, 0.167, 0.35
K8VI, 0.37, 0.032, 0.149, 0.313
K8VII, 0.06, 0.00005, 0.006, 0.012
K7Ia, 24.99, 78000, 232.943, 488.703
K7Ib, 12.94, 7800, 73.663, 154.541
K7II, 6.98, 900, 25.022, 52.495
K7III, 3.66, 94, 8.087, 16.965
K7V, 0.44, 0.055, 0.196, 0.41
K7VI, 0.41, 0.044, 0.175, 0.367
K7VII, 0.06, 0.00005, 0.006, 0.012
K6Ia, 24.9, 77000, 231.445, 485.56
K6Ib, 12.9, 7700, 73.189, 153.548
K6II, 6.94, 880, 24.743, 51.909
K6III, 3.63, 91, 7.957, 16.692
K6V, 0.47, 0.07, 0.221, 0.463
K6VI, 0.44, 0.056, 0.197, 0.414
K6VII, 0.06, 0.00006, 0.006, 0.014
K5Ia, 24.8, 76000, 229.937, 482.397
K5Ib, 12.85, 7600, 72.713, 152.547
K5II, 6.89, 860, 24.46, 51.315
K5III, 3.59, 88, 7.824, 16.415
K5V, 0.49, 0.085, 0.243, 0.51
K5VI, 0.46, 0.068, 0.217, 0.456
K5VII, 0.06, 0.00006, 0.006, 0.014
K4Ia, 24.71, 75000, 228.419, 479.213
K4Ib, 12.8, 7500, 72.233, 151.54
K4II, 6.85, 840, 24.174, 50.715
K4III, 3.56, 85, 7.69, 16.133
K4V, 0.52, 0.1, 0.264, 0.553
K4VI, 0.49, 0.08, 0.236, 0.495
K4VII, 0.06, 0.00006, 0.006, 0.014
K3Ia, 24.62, 74000, 226.892, 476.007
K3Ib, 12.75, 7400, 71.749, 150.527
K3II, 6.8, 820, 23.884, 50.108
K3III, 3.52, 82, 7.553, 15.845
K3IV, 1.76, 7.3, 2.254, 4.728
K3V, 0.59, 0.16, 0.334, 0.7
K3VI, 0.56, 0.128, 0.298, 0.626
K3VII, 0.06, 0.00007, 0.007, 0.015
K2Ia, 24.52, 73000, 225.353, 472.78
K2Ib, 12.7, 7300, 71.263, 149.506
K2II, 6.75, 800, 23.591, 49.493
K2III, 3.48, 79, 7.413, 15.553
K2IV, 1.77, 7.45, 2.277, 4.776
K2V, 0.65, 0.22, 0.391, 0.821
K2VI, 0.61, 0.176, 0.35, 0.734
K2VII, 0.06, 0.00007, 0.007, 0.015
K1Ia, 24.42, 72000, 223.804, 469.531
K1Ib, 12.65, 7200, 70.773, 148.479
K1II, 6.7, 780, 23.294, 48.87
K1III, 3.45, 76, 7.271, 15.255
K1IV, 1.79, 7.6, 2.299, 4.824
K1V, 0.7, 0.28, 0.441, 0.926
K1VI, 0.65, 0.224, 0.395, 0.828
K1VII, 0.06, 0.00007, 0.007, 0.015
K0Ia, 24.33, 71000, 222.245, 466.259
K0Ib, 12.6, 7100, 70.28, 147.444
K0II, 6.65, 760, 22.994, 48.24
K0III, 3.41, 73, 7.126, 14.951
K0IV, 1.8, 7.75, 2.322, 4.871
K0V, 0.73, 0.34, 0.486, 1.02
K0VI, 0.69, 0.272, 0.435, 0.913
K0VII, 0.07, 0.00008, 0.007, 0.016
G9Ia, 24.23, 70000, 220.674, 462.963
G9Ib, 12.55, 7000, 69.783, 146.402
G9II, 6.6, 740, 22.689, 47.601
G9III, 3.37, 70, 6.978, 14.64
G9IV, 1.8, 7.9, 2.344, 4.918
G9V, 0.77, 0.4, 0.528, 1.107
