###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
M9Ia, 26.03, 90000, 166.349, 285.296
M9Ib, 13.48, 9000, 52.604, 90.218
M9II, 7.54, 1175, 19.007, 32.598
M9III, 4.19, 150, 6.791, 11.647
M9V, 0.07, 0.0001, 0.006, 0.01
M9VI, 0.07, 0.00008, 0.005, 0.009
M8Ia, 25.95, 89000, 165.422, 283.706
M8Ib, 13.44, 8900, 52.311, 89.716
M8II, 7.49, 1150, 18.804, 32.249
M8III, 4.15, 145, 6.677, 11.451
M8V, 0.09, 0.00023, 0.008, 0.014
M8VI, 0.09, 0.000184, 0.008, 0.013
M7Ia, 25.86, 88000, 164.49, 282.108
M7Ib, 13.4, 8800, 52.016, 89.21
M7II, 7.44, 1125, 18.598, 31.897
M7III, 4.1, 140, 6.561, 11.252
M7V, 0.1, 0.00035, 0.01, 0.018
M7VI, 0.1, 0.00028, 0.009, 0.016
M6Ia, 25.78, 87000, 163.553, 280.501
M6Ib, 13.35, 8700, 51.72, 88.702
M6II, 7.4, 1100, 18.391, 31.541
M6III, 4.06, 135, 6.443, 11.049
M6V, 0.11, 0.00048, 0.012, 0.021
M6VI, 0.11, 0.000384, 0.011, 0.019
M5Ia, 25.7, 86000, 162.61, 278.884
M5Ib, 13.31, 8600, 51.422, 88.191
M5II, 7.35, 1075, 18.18, 31.18
M5III, 4.02, 130, 6.322, 10.843
M5V, 0.12, 0.0006, 0.014, 0.023
M5VI, 0.11, 0.00048, 0.012, 0.021
M4Ia, 25.61, 85000, 161.662, 277.258
M4Ib, 13.26, 8500, 51.122, 87.677
M4II, 7.3, 1050, 17.968, 30.815
M4III, 3.97, 125, 6.199, 10.632
M4V, 0.13, 0.00075, 0.015, 0.026
M4VI, 0.12, 0.0006, 0.014, 0.023
M3Ia, 25.52, 84000, 160.708, 275.622
M3Ib, 13.22, 8400, 50.82, 87.159
M3II, 7.25, 1025, 17.753, 30.446
M3III, 3.93, 120, 6.074, 10.418
M3V, 0.13, 0.00087, 0.016, 0.028
M3VI, 0.13, 0.000696, 0.015, 0.025
M2Ia, 25.44, 83000, 159.749, 273.976
M2Ib, 13.17, 8300, 50.517, 86.639
M2II, 7.2, 1000, 17.535, 30.073
M2III, 3.88, 115, 5.946, 10.198
M2V, 0.14, 0.001, 0.018, 0.03
M2VI, 0.13, 0.0008, 0.016, 0.027
M1Ia, 25.35, 82000, 158.783, 272.321
M1Ib, 13.13, 8200, 50.212, 86.115
M1II, 7.16, 980, 17.358, 29.771
M1III, 3.83, 110, 5.816, 9.974
M1V, 0.22, 0.005, 0.039, 0.067
M1VI, 0.21, 0.004, 0.035, 0.06
M0Ia, 25.26, 81000, 157.812, 270.655
M0Ib, 13.08, 8100, 49.905, 85.589
M0II, 7.11, 960, 17.18, 29.465
M0III, 3.78, 105, 5.682, 9.745
M0V, 0.27, 0.01, 0.055, 0.095
M0VI, 0.25, 0.008, 0.05, 0.085
K9Ia, 25.17, 80000, 156.835, 268.979
K9Ib, 13.04, 8000, 49.596, 85.059
K9II, 7.07, 940, 17.001, 29.157
K9III, 3.73, 100, 5.545, 9.51
K9V, 0.35, 0.025, 0.088, 0.15
K9VI, 0.33, 0.02, 0.078, 0.134
K9VII, 0.06, 0.00005, 0.004, 0.007
K8Ia, 25.08, 79000, 155.852, 267.293
K8Ib, 12.99, 7900, 49.285, 84.525
K8II, 7.03, 920, 16.819, 28.845
K8III, 3.7, 97, 5.461, 9.366
K8V, 0.4, 0.04, 0.111, 0.19
K8VI, 0.37, 0.032, 0.099, 0.17
K8VII, 0.06, 0.00005, 0.004, 0.007
K7Ia, 24.99, 78000, 154.862, 265.596
K7Ib, 12.94, 7800, 48.972, 83.989
K7II, 6.98, 900, 16.635, 28.53
K7III, 3.66, 94, 5.376, 9.22
K7V, 0.44, 0.055, 0.13, 0.223
K7VI, 0.41, 0.044, 0.116, 0.199
K7VII, 0.06, 0.00005, 0.004, 0.007
K6Ia, 24.9, 77000, 153.866, 263.888
K6Ib, 12.9, 7700, 48.657, 83.449
K6II, 6.94, 880, 16.449, 28.211
K6III, 3.63, 91, 5.29, 9.072
K6V, 0.47, 0.07, 0.147, 0.252
K6VI, 0.44, 0.056, 0.131, 0.225
K6VII, 0.06, 0.00006, 0.004, 0.007
K5Ia, 24.8, 76000, 152.864, 262.169
K5Ib, 12.85, 7600, 48.34, 82.905
K5II, 6.89, 860, 16.261, 27.888
K5III, 3.59, 88, 5.202, 8.921
K5V, 0.49, 0.085, 0.162, 0.277
K5VI, 0.46, 0.068, 0.145, 0.248
K5VII, 0.06, 0.00006, 0.004, 0.007
K4Ia, 24.71, 75000, 151.855, 260.438
K4Ib, 12.8, 7500, 48.021, 82.358
