###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
M9Ia, 26.03, 90000, 205.542, 322.023
M9Ib, 13.48, 9000, 64.998, 101.833
M9II, 7.54, 1175, 23.485, 36.795
M9III, 4.19, 150, 8.391, 13.147
M9V, 0.07, 0.0001, 0.007, 0.011
M9VI, 0.07, 0.00008, 0.006, 0.01
M8Ia, 25.95, 89000, 204.397, 320.229
M8Ib, 13.44, 8900, 64.636, 101.265
M8II, 7.49, 1150, 23.234, 36.401
M8III, 4.15, 145, 8.25, 12.926
M8V, 0.09, 0.00023, 0.01, 0.016
M8VI, 0.09, 0.000184, 0.009, 0.015
M7Ia, 25.86, 88000, 203.246, 318.425
M7Ib, 13.4, 8800, 64.272, 100.695
M7II, 7.44, 1125, 22.98, 36.003
M7III, 4.1, 140, 8.107, 12.701
M7V, 0.1, 0.00035, 0.013, 0.02
M7VI, 0.1, 0.00028, 0.011, 0.018
M6Ia, 25.78, 87000, 202.088, 316.61
M6Ib, 13.35, 8700, 63.906, 100.121
M6II, 7.4, 1100, 22.724, 35.601
M6III, 4.06, 135, 7.961, 12.472
M6V, 0.11, 0.00048, 0.015, 0.024
M6VI, 0.11, 0.000384, 0.013, 0.021
M5Ia, 25.7, 86000, 200.923, 314.786
M5Ib, 13.31, 8600, 63.537, 99.544
M5II, 7.35, 1075, 22.464, 35.194
M5III, 4.02, 130, 7.812, 12.239
M5V, 0.12, 0.0006, 0.017, 0.026
M5VI, 0.11, 0.00048, 0.015, 0.024
M4Ia, 25.61, 85000, 199.751, 312.95
M4Ib, 13.26, 8500, 63.167, 98.963
M4II, 7.3, 1050, 22.201, 34.782
M4III, 3.97, 125, 7.66, 12.001
M4V, 0.13, 0.00075, 0.019, 0.029
M4VI, 0.12, 0.0006, 0.017, 0.026
M3Ia, 25.52, 84000, 198.573, 311.104
M3Ib, 13.22, 8400, 62.794, 98.38
M3II, 7.25, 1025, 21.935, 34.366
M3III, 3.93, 120, 7.505, 11.759
M3V, 0.13, 0.00087, 0.02, 0.032
M3VI, 0.13, 0.000696, 0.018, 0.028
M2Ia, 25.44, 83000, 197.387, 309.246
M2Ib, 13.17, 8300, 62.419, 97.792
M2II, 7.2, 1000, 21.666, 33.944
M2III, 3.88, 115, 7.347, 11.511
M2V, 0.14, 0.001, 0.022, 0.034
M2VI, 0.13, 0.0008, 0.019, 0.03
M1Ia, 25.35, 82000, 196.195, 307.378
M1Ib, 13.13, 8200, 62.042, 97.201
M1II, 7.16, 980, 21.448, 33.603
M1III, 3.83, 110, 7.186, 11.258
M1V, 0.22, 0.005, 0.048, 0.076
M1VI, 0.21, 0.004, 0.043, 0.068
M0Ia, 25.26, 81000, 194.995, 305.498
M0Ib, 13.08, 8100, 61.663, 96.607
M0II, 7.11, 960, 21.228, 33.258
M0III, 3.78, 105, 7.021, 10.999
M0V, 0.27, 0.01, 0.069, 0.107
M0VI, 0.25, 0.008, 0.061, 0.096
K9Ia, 25.17, 80000, 193.787, 303.606
K9Ib, 13.04, 8000, 61.281, 96.009
K9II, 7.07, 940, 21.006, 32.91
K9III, 3.73, 100, 6.851, 10.734
K9V, 0.35, 0.025, 0.108, 0.17
K9VI, 0.33, 0.02, 0.097, 0.152
K9VII, 0.06, 0.00005, 0.005, 0.008
K8Ia, 25.08, 79000, 192.572, 301.703
K8Ib, 12.99, 7900, 60.897, 95.407
K8II, 7.03, 920, 20.781, 32.558
K8III, 3.7, 97, 6.748, 10.572
K8V, 0.4, 0.04, 0.137, 0.215
K8VI, 0.37, 0.032, 0.123, 0.192
K8VII, 0.06, 0.00005, 0.005, 0.008
K7Ia, 24.99, 78000, 191.35, 299.787
K7Ib, 12.94, 7800, 60.51, 94.801
K7II, 6.98, 900, 20.554, 32.202
K7III, 3.66, 94, 6.643, 10.407
K7V, 0.44, 0.055, 0.161, 0.252
K7VI, 0.41, 0.044, 0.144, 0.225
K7VII, 0.06, 0.00005, 0.005, 0.008
K6Ia, 24.9, 77000, 190.119, 297.859
K6Ib, 12.9, 7700, 60.121, 94.191
K6II, 6.94, 880, 20.325, 31.842
K6III, 3.63, 91, 6.536, 10.24
K6V, 0.47, 0.07, 0.181, 0.284
K6VI, 0.44, 0.056, 0.162, 0.254
K6VII, 0.06, 0.00006, 0.005, 0.008
K5Ia, 24.8, 76000, 188.881, 295.919
K5Ib, 12.85, 7600, 59.729, 93.578
K5II, 6.89, 860, 20.092, 31.479
K5III, 3.59, 88, 6.427, 10.069
K5V, 0.49, 0.085, 0.2, 0.313
K5VI, 0.46, 0.068, 0.179, 0.28
K5VII, 0.06, 0.00006, 0.005, 0.008
K4Ia, 24.71, 75000, 187.634, 293.965
K4Ib, 12.8, 7500, 59.335, 92.96
K4II, 6.85, 840, 19.857, 31.11
K4III, 3.56, 85, 6.317, 9.896
K4V, 0.52, 0.1, 0.217, 0.339
K4VI, 0.49, 0.08, 0.194, 0.304
K4VII, 0.06, 0.00006, 0.005, 0.008
K3Ia, 24.62, 74000, 186.379, 291.999
K3Ib, 12.75, 7400, 58.938, 92.338
K3II, 6.8, 820, 19.619, 30.738
K3III, 3.52, 82, 6.204, 9.72
K3IV, 1.76, 7.3, 1.851, 2.9
K3V, 0.59, 0.16, 0.274, 0.429
K3VI, 0.56, 0.128, 0.245, 0.384
K3VII, 0.06, 0.00007, 0.006, 0.009
K2Ia, 24.52, 73000, 185.115, 290.019
K2Ib, 12.7, 7300, 58.539, 91.712
K2II, 6.75, 800, 19.379, 30.361
K2III, 3.48, 79, 6.09, 9.541
K2IV, 1.77, 7.45, 1.87, 2.93
K2V, 0.65, 0.22, 0.321, 0.503
K2VI, 0.61, 0.176, 0.287, 0.45
K2VII, 0.06, 0.00007, 0.006, 0.009
K1Ia, 24.42, 72000, 183.843, 288.026
K1Ib, 12.65, 7200, 58.136, 91.082
K1II, 6.7, 780, 19.135, 29.979
K1III, 3.45, 76, 5.973, 9.358
K1IV, 1.79, 7.6, 1.889, 2.959
K1V, 0.7, 0.28, 0.363, 0.568
K1VI, 0.65, 0.224, 0.324, 0.508
K1VII, 0.06, 0.00007, 0.006, 0.009
K0Ia, 24.33, 71000, 182.562, 286.019
K0Ib, 12.6, 7100, 57.731, 90.447
K0II, 6.65, 760, 18.888, 29.592
K0III, 3.41, 73, 5.854, 9.171
K0IV, 1.8, 7.75, 1.907, 2.988
K0V, 0.73, 0.34, 0.4, 0.626
K0VI, 0.69, 0.272, 0.357, 0.56
K0VII, 0.07, 0.00008, 0.006, 0.01
G9Ia, 24.23, 70000, 181.271, 283.998
G9Ib, 12.55, 7000, 57.323, 89.808
G9II, 6.6, 740, 18.638, 29.2
G9III, 3.37, 70, 5.732, 8.981
G9IV, 1.8, 7.9, 1.926, 3.017
G9V, 0.77, 0.4, 0.433, 0.679
G9VI, 0.72, 0.32, 0.388, 0.607
G9VII, 0.07, 0.00008, 0.006, 0.01
G8Ia, 24.13, 69000, 179.972, 281.962
G8Ib, 12.5, 6900, 56.912, 89.164
G8II, 6.55, 720, 18.384, 28.803
G8III, 3.32, 67, 5.608, 8.786
G8IV, 1.81, 8.05, 1.944, 3.046
G8V, 0.8, 0.46, 0.465, 0.728
G8VI, 0.75, 0.368, 0.416, 0.651
G8VII, 0.07, 0.00008, 0.006, 0.01
G7Ia, 24.03, 68000, 178.663, 279.911
G7Ib, 12.45, 6800, 56.498, 88.516
G7II, 6.5, 700, 18.127, 28.4
G7III, 3.28, 64, 5.481, 8.587
G7IV, 1.82, 8.2, 1.962, 3.074
G7V, 0.83, 0.52, 0.494, 0.774
G7VI, 0.78, 0.416, 0.442, 0.692
G7VII, 0.07, 0.00008, 0.006, 0.01
G6Ia, 23.93, 67000, 177.345, 277.845
G6Ib, 12.39, 6700, 56.081, 87.862
G6II, 6.54, 715, 18.32, 28.702
G6III, 3.24, 61, 5.351, 8.384
