###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance,
###and habitability modifier
M9Ia, 26.03, 90000, 262.434, 367.367, -8
M9Ib, 13.48, 9000, 82.989, 116.172, -7
M9II, 7.54, 1175, 29.986, 41.976, -6
M9III, 4.19, 150, 10.714, 14.998, -5
M9V, 0.07, 0.0001, 0.009, 0.012, -3
M9VI, 0.07, 0.00008, 0.008, 0.011, -4
M8Ia, 25.95, 89000, 260.972, 365.32, -8
M8Ib, 13.44, 8900, 82.527, 115.524, -7
M8II, 7.49, 1150, 29.665, 41.527, -6
M8III, 4.15, 145, 10.534, 14.746, -5
M8V, 0.09, 0.00023, 0.013, 0.019, -3
M8VI, 0.09, 0.000184, 0.012, 0.017, -4
M7Ia, 25.86, 88000, 259.502, 363.262, -8
M7Ib, 13.4, 8800, 82.062, 114.873, -7
M7II, 7.44, 1125, 29.341, 41.073, -6
M7III, 4.1, 140, 10.351, 14.489, -5
M7V, 0.1, 0.00035, 0.016, 0.023, -3
M7VI, 0.1, 0.00028, 0.015, 0.02, -4
M6Ia, 25.78, 87000, 258.023, 361.192, -7
M6Ib, 13.35, 8700, 81.594, 114.219, -6
M6II, 7.4, 1100, 29.013, 40.614, -5
M6III, 4.06, 135, 10.164, 14.228, -4
M6V, 0.11, 0.00048, 0.019, 0.027, -2
M6VI, 0.11, 0.000384, 0.017, 0.024, -3
M5Ia, 25.7, 86000, 256.536, 359.11, -7
M5Ib, 13.31, 8600, 81.124, 113.561, -6
M5II, 7.35, 1075, 28.682, 40.15, -5
M5III, 4.02, 130, 9.974, 13.962, -4
M5V, 0.12, 0.0006, 0.021, 0.03, -2
M5VI, 0.11, 0.00048, 0.019, 0.027, -3
M4Ia, 25.61, 85000, 255.04, 357.016, -7
M4Ib, 13.26, 8500, 80.651, 112.898, -6
M4II, 7.3, 1050, 28.346, 39.68, -5
M4III, 3.97, 125, 9.78, 13.691, -4
M4V, 0.13, 0.00075, 0.024, 0.034, -2
M4VI, 0.12, 0.0006, 0.021, 0.03, -3
M3Ia, 25.52, 84000, 253.535, 354.91, -7
M3Ib, 13.22, 8400, 80.175, 112.232, -6
M3II, 7.25, 1025, 28.007, 39.205, -5
M3III, 3.93, 120, 9.583, 13.414, -4
M3V, 0.13, 0.00087, 0.026, 0.036, -2
M3VI, 0.13, 0.000696, 0.023, 0.032, -3
M2Ia, 25.44, 83000, 252.022, 352.791, -6
M2Ib, 13.17, 8300, 79.696, 111.562, -5
M2II, 7.2, 1000, 27.663, 38.724, -4
M2III, 3.88, 115, 9.381, 13.132, -3
M2V, 0.14, 0.001, 0.028, 0.039, -1
M2VI, 0.13, 0.0008, 0.025, 0.035, -2
M1Ia, 25.35, 82000, 250.499, 350.659, -6
M1Ib, 13.13, 8200, 79.215, 110.888, -5
M1II, 7.16, 980, 27.385, 38.335, -4
M1III, 3.83, 110, 9.175, 12.843, -3
M1V, 0.22, 0.005, 0.062, 0.087, -1
M1VI, 0.21, 0.004, 0.055, 0.077, -2
M0Ia, 25.26, 81000, 248.967, 348.515, -6
M0Ib, 13.08, 8100, 78.73, 110.21, -5
M0II, 7.11, 960, 27.104, 37.941, -4
M0III, 3.78, 105, 8.964, 12.548, -3
M0V, 0.27, 0.01, 0.087, 0.122, -1
M0VI, 0.25, 0.008, 0.078, 0.11, -2
K9Ia, 25.17, 80000, 247.425, 346.357, -7
K9Ib, 13.04, 8000, 78.243, 109.528, -6
K9II, 7.07, 940, 26.82, 37.544, -5
K9III, 3.73, 100, 8.748, 12.246, -4
K9V, 0.35, 0.025, 0.138, 0.194, -2
K9VI, 0.33, 0.02, 0.124, 0.173, -3
K9VII, 0.06, 0.00005, 0.006, 0.009, -4
K8Ia, 25.08, 79000, 245.874, 344.185, -7
K8Ib, 12.99, 7900, 77.752, 108.841, -6
K8II, 7.03, 920, 26.533, 37.143, -5
K8III, 3.7, 97, 8.616, 12.06, -4
K8V, 0.4, 0.04, 0.175, 0.245, -2
K8VI, 0.37, 0.032, 0.156, 0.219, -3
K8VII, 0.06, 0.00005, 0.006, 0.009, -4
K7Ia, 24.99, 78000, 244.313, 342, -8
K7Ib, 12.94, 7800, 77.258, 108.15, -7
K7II, 6.98, 900, 26.243, 36.737, -6
K7III, 3.66, 94, 8.481, 11.873, -5
K7V, 0.44, 0.055, 0.205, 0.287, -3
K7VI, 0.41, 0.044, 0.183, 0.257, -4
K7VII, 0.06, 0.00005, 0.006, 0.009, -5
K6Ia, 24.9, 77000, 242.742, 339.8, -7
K6Ib, 12.9, 7700, 76.762, 107.454, -6
K6II, 6.94, 880, 25.95, 36.326, -5
K6III, 3.63, 91, 8.345, 11.682, -4
K6V, 0.47, 0.07, 0.231, 0.324, -2
K6VI, 0.44, 0.056, 0.207, 0.29, -3
K6VII, 0.06, 0.00006, 0.007, 0.009, -4
K5Ia, 24.8, 76000, 241.16, 337.587, -7
K5Ib, 12.85, 7600, 76.262, 106.754, -6
K5II, 6.89, 860, 25.654, 35.911, -5
K5III, 3.59, 88, 8.206, 11.487, -4
K5V, 0.49, 0.085, 0.255, 0.357, -2
K5VI, 0.46, 0.068, 0.228, 0.319, -3
K5VII, 0.06, 0.00006, 0.007, 0.009, -4
K4Ia, 24.71, 75000, 239.568, 335.358, -6
K4Ib, 12.8, 7500, 75.758, 106.05, -5
K4II, 6.85, 840, 25.354, 35.491, -4
K4III, 3.56, 85, 8.065, 11.29, -3
K4V, 0.52, 0.1, 0.277, 0.387, -1
K4VI, 0.49, 0.08, 0.247, 0.346, -2
K4VII, 0.06, 0.00006, 0.007, 0.009, -3
K3Ia, 24.62, 74000, 237.966, 333.115, -5
K3Ib, 12.75, 7400, 75.251, 105.34, -4
K3II, 6.8, 820, 25.05, 35.066, -3
K3III, 3.52, 82, 7.921, 11.089, -2
K3IV, 1.76, 7.3, 2.364, 3.309, -1
K3V, 0.59, 0.16, 0.35, 0.49, 0
K3VI, 0.56, 0.128, 0.313, 0.438, -1
K3VII, 0.06, 0.00007, 0.007, 0.01, -2
K2Ia, 24.52, 73000, 236.352, 330.857, -5
K2Ib, 12.7, 7300, 74.741, 104.626, -4
K2II, 6.75, 800, 24.743, 34.636, -3
K2III, 3.48, 79, 7.775, 10.884, -2
K2IV, 1.77, 7.45, 2.388, 3.342, -1
K2V, 0.65, 0.22, 0.41, 0.574, 0
K2VI, 0.61, 0.176, 0.367, 0.514, -1
K2VII, 0.06, 0.00007, 0.007, 0.01, -2
K1Ia, 24.42, 72000, 234.728, 328.583, -5
K1Ib, 12.65, 7200, 74.228, 103.907, -4
K1II, 6.7, 780, 24.431, 34.2, -3
K1III, 3.45, 76, 7.626, 10.675, -2
K1IV, 1.79, 7.6, 2.412, 3.376, -1
K1V, 0.7, 0.28, 0.463, 0.648, 0
K1VI, 0.65, 0.224, 0.414, 0.58, -1
K1VII, 0.06, 0.00007, 0.007, 0.01, -2
K0Ia, 24.33, 71000, 233.092, 326.293, -5
K0Ib, 12.6, 7100, 73.71, 103.183, -4
K0II, 6.65, 760, 24.116, 33.759, -3
K0III, 3.41, 73, 7.474, 10.463, -2
K0IV, 1.8, 7.75, 2.435, 3.409, -1
K0V, 0.73, 0.34, 0.51, 0.714, 0
K0VI, 0.69, 0.272, 0.456, 0.639, -1
K0VII, 0.07, 0.00008, 0.008, 0.011, -2
G9Ia, 24.23, 70000, 231.445, 323.987, -5
G9Ib, 12.55, 7000, 73.189, 102.454, -4
G9II, 6.6, 740, 23.797, 33.312, -3
G9III, 3.37, 70, 7.319, 10.245, -2
G9IV, 1.8, 7.9, 2.459, 3.442, -1
G9V, 0.77, 0.4, 0.553, 0.774, 0
G9VI, 0.72, 0.32, 0.495, 0.693, -1
G9VII, 0.07, 0.00008, 0.008, 0.011, -2
G8Ia, 24.13, 69000, 229.786, 321.664, -5
G8Ib, 12.5, 6900, 72.665, 101.719, -4
G8II, 6.55, 720, 23.473, 32.858, -3
G8III, 3.32, 67, 7.16, 10.023, -2
G8IV, 1.81, 8.05, 2.482, 3.474, -1
G8V, 0.8, 0.46, 0.593, 0.831, 0
G8VI, 0.75, 0.368, 0.531, 0.743, -1
G8VII, 0.07, 0.00008, 0.008, 0.011, -2
G7Ia, 24.03, 68000, 228.115, 319.325, -5
G7Ib, 12.45, 6800, 72.136, 100.979, -4
G7II, 6.5, 700, 23.144, 32.399, -3
G7III, 3.28, 64, 6.998, 9.796, -2
G7IV, 1.82, 8.2, 2.505, 3.507, -1
G7V, 0.83, 0.52, 0.631, 0.883, 0
G7VI, 0.78, 0.416, 0.564, 0.79, -1
G7VII, 0.07, 0.00008, 0.008, 0.011, -2
G6Ia, 23.93, 67000, 226.431, 316.968, -5
