###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
M9Ia, 26.03, 90000, 178.005, 827.48
M9Ib, 13.48, 9000, 56.29, 261.672
M9II, 7.54, 1175, 20.339, 94.549
M9III, 4.19, 150, 7.267, 33.782
M9V, 0.07, 0.0001, 0.006, 0.028
M9VI, 0.07, 0.00008, 0.005, 0.025
M8Ia, 25.95, 89000, 177.013, 822.87
M8Ib, 13.44, 8900, 55.977, 260.214
M8II, 7.49, 1150, 20.121, 93.537
M8III, 4.15, 145, 7.145, 33.214
M8V, 0.09, 0.00023, 0.009, 0.042
M8VI, 0.09, 0.000184, 0.008, 0.037
M7Ia, 25.86, 88000, 176.016, 818.235
M7Ib, 13.4, 8800, 55.661, 258.748
M7II, 7.44, 1125, 19.902, 92.515
M7III, 4.1, 140, 7.021, 32.636
M7V, 0.1, 0.00035, 0.011, 0.052
M7VI, 0.1, 0.00028, 0.01, 0.046
M6Ia, 25.78, 87000, 175.013, 813.572
M6Ib, 13.35, 8700, 55.344, 257.274
M6II, 7.4, 1100, 19.679, 91.481
M6III, 4.06, 135, 6.894, 32.048
M6V, 0.11, 0.00048, 0.013, 0.06
M6VI, 0.11, 0.000384, 0.012, 0.054
M5Ia, 25.7, 86000, 174.004, 808.883
M5Ib, 13.31, 8600, 55.025, 255.791
M5II, 7.35, 1075, 19.454, 90.436
M5III, 4.02, 130, 6.765, 31.449
M5V, 0.12, 0.0006, 0.015, 0.068
M5VI, 0.11, 0.00048, 0.013, 0.06
M4Ia, 25.61, 85000, 172.99, 804.166
M4Ib, 13.26, 8500, 54.704, 254.3
M4II, 7.3, 1050, 19.227, 89.378
M4III, 3.97, 125, 6.634, 30.838
M4V, 0.13, 0.00075, 0.016, 0.076
M4VI, 0.12, 0.0006, 0.015, 0.068
M3Ia, 25.52, 84000, 171.969, 799.422
M3Ib, 13.22, 8400, 54.381, 252.799
M3II, 7.25, 1025, 18.996, 88.308
M3III, 3.93, 120, 6.5, 30.215
M3V, 0.13, 0.00087, 0.018, 0.081
M3VI, 0.13, 0.000696, 0.016, 0.073
M2Ia, 25.44, 83000, 170.942, 794.649
M2Ib, 13.17, 8300, 54.057, 251.29
M2II, 7.2, 1000, 18.763, 87.224
M2III, 3.88, 115, 6.363, 29.579
M2V, 0.14, 0.001, 0.019, 0.087
M2VI, 0.13, 0.0008, 0.017, 0.078
M1Ia, 25.35, 82000, 169.91, 789.848
M1Ib, 13.13, 8200, 53.73, 249.772
M1II, 7.16, 980, 18.575, 86.347
M1III, 3.83, 110, 6.223, 28.929
M1V, 0.22, 0.005, 0.042, 0.195
M1VI, 0.21, 0.004, 0.038, 0.174
M0Ia, 25.26, 81000, 168.87, 785.017
M0Ib, 13.08, 8100, 53.402, 248.244
M0II, 7.11, 960, 18.384, 85.462
M0III, 3.78, 105, 6.08, 28.264
M0V, 0.27, 0.01, 0.059, 0.276
M0VI, 0.25, 0.008, 0.053, 0.247
K9Ia, 25.17, 80000, 167.825, 780.156
K9Ib, 13.04, 8000, 53.071, 246.707
K9II, 7.07, 940, 18.192, 84.567
K9III, 3.73, 100, 5.934, 27.583
K9V, 0.35, 0.025, 0.094, 0.436
K9VI, 0.33, 0.02, 0.084, 0.39
K9VII, 0.06, 0.00005, 0.004, 0.02
K8Ia, 25.08, 79000, 166.773, 775.265
K8Ib, 12.99, 7900, 52.738, 245.16
K8II, 7.03, 920, 17.997, 83.662
K8III, 3.7, 97, 5.844, 27.166
K8V, 0.4, 0.04, 0.119, 0.552
K8VI, 0.37, 0.032, 0.106, 0.493
K8VII, 0.06, 0.00005, 0.004, 0.02
K7Ia, 24.99, 78000, 165.714, 770.342
K7Ib, 12.94, 7800, 52.403, 243.604
K7II, 6.98, 900, 17.801, 82.748
K7III, 3.66, 94, 5.753, 26.742
K7V, 0.44, 0.055, 0.139, 0.647
K7VI, 0.41, 0.044, 0.124, 0.579
K7VII, 0.06, 0.00005, 0.004, 0.02
K6Ia, 24.9, 77000, 164.648, 765.388
K6Ib, 12.9, 7700, 52.066, 242.037
K6II, 6.94, 880, 17.602, 81.823
K6III, 3.63, 91, 5.66, 26.312
K6V, 0.47, 0.07, 0.157, 0.73
K6VI, 0.44, 0.056, 0.14, 0.653
K6VII, 0.06, 0.00006, 0.005, 0.021
K5Ia, 24.8, 76000, 163.575, 760.402
K5Ib, 12.85, 7600, 51.727, 240.46
K5II, 6.89, 860, 17.4, 80.888
K5III, 3.59, 88, 5.566, 25.875
K5V, 0.49, 0.085, 0.173, 0.804
