###Format is star's spectral type, mass, luminosity, inner temp extreme distance, outer temp extreme distance
M9Ia, 26.03, 90000, 130.495, 1543.346
M9Ib, 13.48, 9000, 41.266, 488.049
M9II, 7.54, 1175, 14.91, 176.344
M9III, 4.19, 150, 5.327, 63.007
M9V, 0.07, 0.0001, 0.004, 0.051
M9VI, 0.07, 0.00008, 0.004, 0.046
M8Ia, 25.95, 89000, 129.768, 1534.748
M8Ib, 13.44, 8900, 41.036, 485.33
M8II, 7.49, 1150, 14.751, 174.458
M8III, 4.15, 145, 5.238, 61.948
M8V, 0.09, 0.00023, 0.007, 0.078
M8VI, 0.09, 0.000184, 0.006, 0.07
M7Ia, 25.86, 88000, 129.037, 1526.102
M7Ib, 13.4, 8800, 40.805, 482.596
M7II, 7.44, 1125, 14.59, 172.551
M7III, 4.1, 140, 5.147, 60.87
M7V, 0.1, 0.00035, 0.008, 0.096
M7VI, 0.1, 0.00028, 0.007, 0.086
M6Ia, 25.78, 87000, 128.301, 1517.406
M6Ib, 13.35, 8700, 40.572, 479.846
M6II, 7.4, 1100, 14.427, 170.623
M6III, 4.06, 135, 5.054, 59.774
M6V, 0.11, 0.00048, 0.01, 0.113
M6VI, 0.11, 0.000384, 0.009, 0.101
M5Ia, 25.7, 86000, 127.562, 1508.66
M5Ib, 13.31, 8600, 40.339, 477.08
M5II, 7.35, 1075, 14.262, 168.673
M5III, 4.02, 130, 4.96, 58.656
M5V, 0.12, 0.0006, 0.011, 0.126
M5VI, 0.11, 0.00048, 0.01, 0.113
M4Ia, 25.61, 85000, 126.818, 1499.863
M4Ib, 13.26, 8500, 40.103, 474.298
M4II, 7.3, 1050, 14.095, 166.7
M4III, 3.97, 125, 4.863, 57.517
M4V, 0.13, 0.00075, 0.012, 0.141
M4VI, 0.12, 0.0006, 0.011, 0.126
M3Ia, 25.52, 84000, 126.07, 1491.014
M3Ib, 13.22, 8400, 39.867, 471.5
M3II, 7.25, 1025, 13.926, 164.704
M3III, 3.93, 120, 4.765, 56.355
M3V, 0.13, 0.00087, 0.013, 0.152
M3VI, 0.13, 0.000696, 0.011, 0.136
M2Ia, 25.44, 83000, 125.317, 1482.113
M2Ib, 13.17, 8300, 39.629, 468.685
M2II, 7.2, 1000, 13.755, 162.683
M2III, 3.88, 115, 4.665, 55.168
M2V, 0.14, 0.001, 0.014, 0.163
M2VI, 0.13, 0.0008, 0.012, 0.146
M1Ia, 25.35, 82000, 124.56, 1473.157
M1Ib, 13.13, 8200, 39.389, 465.853
M1II, 7.16, 980, 13.617, 161.048
M1III, 3.83, 110, 4.562, 53.956
M1V, 0.22, 0.005, 0.031, 0.364
M1VI, 0.21, 0.004, 0.028, 0.325
M0Ia, 25.26, 81000, 123.798, 1464.147
M0Ib, 13.08, 8100, 39.148, 463.004
M0II, 7.11, 960, 13.477, 159.396
M0III, 3.78, 105, 4.457, 52.715
M0V, 0.27, 0.01, 0.043, 0.514
M0VI, 0.25, 0.008, 0.039, 0.46
K9Ia, 25.17, 80000, 123.032, 1455.081
K9Ib, 13.04, 8000, 38.906, 460.137
K9II, 7.07, 940, 13.336, 157.727
K9III, 3.73, 100, 4.35, 51.445
K9V, 0.35, 0.025, 0.069, 0.813
K9VI, 0.33, 0.02, 0.062, 0.728
K9VII, 0.06, 0.00005, 0.003, 0.036
K8Ia, 25.08, 79000, 122.26, 1445.958
K8Ib, 12.99, 7900, 38.662, 457.252
K8II, 7.03, 920, 13.194, 156.04
K8III, 3.7, 97, 4.284, 50.667
K8V, 0.4, 0.04, 0.087, 1.029
K8VI, 0.37, 0.032, 0.078, 0.92
K8VII, 0.06, 0.00005, 0.003, 0.036
K7Ia, 24.99, 78000, 121.484, 1436.777
K7Ib, 12.94, 7800, 38.417, 454.349
K7II, 6.98, 900, 13.049, 154.335
K7III, 3.66, 94, 4.217, 49.878
K7V, 0.44, 0.055, 0.102, 1.206
K7VI, 0.41, 0.044, 0.091, 1.079
K7VII, 0.06, 0.00005, 0.003, 0.036
K6Ia, 24.9, 77000, 120.703, 1427.538
K6Ib, 12.9, 7700, 38.17, 451.427
K6II, 6.94, 880, 12.904, 152.61
K6III, 3.63, 91, 4.149, 49.075
K6V, 0.47, 0.07, 0.115, 1.361
K6VI, 0.44, 0.056, 0.103, 1.217
K6VII, 0.06, 0.00006, 0.003, 0.04
K5Ia, 24.8, 76000, 119.916, 1418.238
K5Ib, 12.85, 7600, 37.921, 448.486
K5II, 6.89, 860, 12.756, 150.866
K5III, 3.59, 88, 4.08, 48.26
K5V, 0.49, 0.085, 0.127, 1.5
K5VI, 0.46, 0.068, 0.113, 1.342
K5VII, 0.06, 0.00006, 0.003, 0.04
K4Ia, 24.71, 75000, 119.125, 1408.876
K4Ib, 12.8, 7500, 37.671, 445.526
K4II, 6.85, 840, 12.607, 149.101
K4III, 3.56, 85, 4.01, 47.43
K4V, 0.52, 0.1, 0.138, 1.627
K4VI, 0.49, 0.08, 0.123, 1.455
K4VII, 0.06, 0.00006, 0.003, 0.04
K3Ia, 24.62, 74000, 118.328, 1399.452
K3Ib, 12.75, 7400, 37.419, 442.546
K3II, 6.8, 820, 12.456, 147.316
K3III, 3.52, 82, 3.939, 46.585
K3IV, 1.76, 7.3, 1.175, 13.9
K3V, 0.59, 0.16, 0.174, 2.058
K3VI, 0.56, 0.128, 0.156, 1.841
K3VII, 0.06, 0.00007, 0.004, 0.043
K2Ia, 24.52, 73000, 117.526, 1389.964
K2Ib, 12.7, 7300, 37.165, 439.545
K2II, 6.75, 800, 12.303, 145.508
K2III, 3.48, 79, 3.866, 45.725
K2IV, 1.77, 7.45, 1.187, 14.042
K2V, 0.65, 0.22, 0.204, 2.413
K2VI, 0.61, 0.176, 0.182, 2.158
K2VII, 0.06, 0.00007, 0.004, 0.043
K1Ia, 24.42, 72000, 116.718, 1380.411
K1Ib, 12.65, 7200, 36.909, 436.524
K1II, 6.7, 780, 12.148, 143.678
K1III, 3.45, 76, 3.792, 44.849
K1IV, 1.79, 7.6, 1.199, 14.182
K1V, 0.7, 0.28, 0.23, 2.722
K1VI, 0.65, 0.224, 0.206, 2.435
K1VII, 0.06, 0.00007, 0.004, 0.043
K0Ia, 24.33, 71000, 115.905, 1370.791
K0Ib, 12.6, 7100, 36.652, 433.482
K0II, 6.65, 760, 11.992, 141.824
